,date,text,compound,positive,negative,neutral
76,2021-09-08,"Technical analysts weigh in on what's next for bitcoin. 
getty
Bitcoin prices have had a tumultuous couple of days, plunging to their lowest in almost a month yesterday before recovering, and then … [+4240 chars]",-0.3818,0.0,0.077,0.923
77,2021-09-02,"Bitcoin prices have been stuck trading near $50,000 after their latest upward movement. (Photo by ... [+] INA FASSBENDER / AFP) (Photo by INA FASSBENDER/AFP via Getty Images)
AFP via Getty Images
B… [+4933 chars]",-0.25,0.0,0.057,0.943
78,2021-08-23,"Users of PayPal in the UK will be able to buy, hold and sell cryptocurrencies as the company looks to offer more ways to pay.
British users will be able to start buying or selling from as little as … [+2015 chars]",-0.1689,0.0,0.04,0.96
79,2021-08-22,"Litecoin has continuously been rated among the top cryptocurrencies. It was created to be a speedier, more efficient counterpart of Bitcoin. It also has a lower price than Bitcoin, which makes it a p… [+3562 chars]",0.5709,0.181,0.058,0.761
80,2021-09-13,"Market participants and project leaders discuss their picks for the altcoin universe. Looking for ... [+] new cryptos to buy? Here are some ideas.
getty
Is Cardano (ADA) considered an alt-coin? Bas… [+7397 chars]",0.0,0.0,0.0,1.0
81,2021-08-23,"Bitcoin is once again trading above the $50,000 price tag, hitting the mark for the first time in over three months.
The world’s largest cryptocurrency by market value is up 2.5% over a 24-hour peri… [+1807 chars]",0.34,0.064,0.0,0.936
82,2021-09-14,"Bitcoin was trading 3.33% higher on Tuesday morning nearing $46,000 per coin.
The price was around $45,903 per coin, while rivals Ethereum and Dogecoin were trading around $3,344 (+3.69%) and 23.7 c… [+1138 chars]",0.0,0.0,0.0,1.0
83,2021-08-25,"The Pirate Bay receives a steady stream of Bitcoin donations. In 2013, many popular torrent sites added the option to donate via Bitcoin, from which The Pirate Bay was the first to accept Bitcoin don… [+1631 chars]",0.6597,0.137,0.0,0.863
84,2021-08-23,"(Pocket-lint) - PayPal is expanding its cryptocurrency trading services into the United Kingdom, now allowing millions of users to more easily buy, hold and sell Bitcoin, Ethereum, Bitcoin Cash and L… [+1257 chars]",0.6697,0.155,0.0,0.845
85,2021-09-02,"Japanese financial conglomerate SBI Holdings is reportedly planning to set up one of the first funds in the country giving investors exposure to crypto. 
According to a Thursday Bloomberg report, SB… [+2107 chars]",0.34,0.072,0.0,0.928
86,2021-09-11,"Among about 20 national media outlets and counting that have done stories on Vast Banks new service: Forbes, Fox Business, Bitcoin Magazine, American Banker, Bloomberg and the Wall Street Journal.
I… [+1113 chars]",0.0,0.0,0.0,1.0
87,2021-09-13,"(Bloomberg) -- Major cryptocurrencies gave back their advances after Walmart denied having an agreement to use Litecoin for purchases.
Litecoin which rose as much as 33 percent at one point erased a… [+245 chars]",0.0772,0.084,0.076,0.84
88,2021-08-25,"If youre curious about investing in cryptocurrencies and want to dip your toes in the increasingly omnipresent universe while limiting your risks, youre in luck. A slew of apps let you invest as litt… [+1478 chars]",0.5423,0.166,0.053,0.781
89,2021-08-23,"The price of Bitcoin surged to a three-month high of $50,000 per coin on Monday.
Bitcoin has surged to a three-month-high of $50,000 per coin on Monday (Photo courtesy of Coindesk)
Meanwhile, rival… [+4270 chars]",0.3612,0.072,0.0,0.928
90,2021-08-23,"The price of bitcoin crossed the $50,000 threshold for the first time since May on Sunday and then reached as high as $50,482 following news that PayPal now allows its customers in the U.K. to buy, h… [+841 chars]",0.1027,0.036,0.0,0.964
91,2021-08-18,"VIENNA--(BUSINESS WIRE)--ETC Group (www.etc-group.com), Europes leading specialist provider of innovative, digital asset-backed securities1, announces that it is listing its entire portfolio of marke… [+2567 chars]",0.4404,0.108,0.0,0.892
92,2021-09-11,"BeInCrypto 
The UATP global payment network has partnered with crypto payments processing company BitPay, to expand the reach of UATP to a wider global customer base by allowing customers to pay for… [+1159 chars]",0.25,0.098,0.04,0.862
93,2021-08-29,"Bitcoin, BTC to USD, slipped by 0.34% on Saturday. Following a 4.79% rally on Friday, Bitcoin ended the day at $48,914.0.
A choppy start to the day saw Bitcoin rise to an early morning intraday high… [+2659 chars]",0.0,0.0,0.0,1.0
94,2021-08-18,"BeInCrypto 
Crypto-backed asset provider ETC Group is listing its entire portfolio of crypto exchange traded products (ETPs) on Austrias national stock market.
Assets in the portfolio includes ETC … [+694 chars]",0.4939,0.13,0.0,0.87
95,2021-09-06,"Bitcoin (BTC) has been the uncontested cryptocurrency market leader since its creator launched the digital asset in 2009 and to date, it continues to be the dominant force in the industry. 
This tru… [+3963 chars]",0.4588,0.108,0.0,0.892
96,2021-08-24,"Litecoin, also known as the silver equivalent to Bitcoins gold, has come a long way since its release in October 2011. The cryptocurrency is currently considered one of the best investment options fo… [+3249 chars]",0.6369,0.113,0.0,0.887
97,2021-09-14,"Bitcoin and the broader crypto market have seen a steady recover in recent months following the price crash in April and May that wiped more than a trillion dollars from the overall market cap.
But … [+1235 chars]",-0.2144,0.0,0.052,0.948
98,2021-09-14,"According to a statement issued by the country’s prime ministers’ office, four construction companies, an IT company and the state-owned JDB bank were granted permission to mine and trade cryptocurre… [+1405 chars]",0.25,0.062,0.0,0.938
99,2021-08-23,"I’m a little embarrassed to admit this now, but at the start of the year, Isort of dived head first into the world of cryptocurrencies. I hoovered up books like The Basics of Bitcoin, The Infinite Ma… [+4438 chars]",0.4432,0.113,0.04,0.847
